carrier;number;dep_time;stock_type;itinerary
TGV Navette;7002;06:41;DD;LLE-PNO
TGV Navette;7006;07:11;DD;LLE-PNO
TGV Navette;7010;07:41;DD;LLE-PNO
TGV Navette;7014;08:11;D;LLE-PNO
TGV Navette;7018;08:56;DD;LLE-PNO
TGV Navette;7026;10:11;DD;LLE-PNO
TGV Navette;7032;11:41;DD;LLE-PNO
TGV Navette;7038;13:11;DD;LLE-PNO
TGV Navette;7044;14:41;DD;LLE-PNO
TGV Navette;7052;16:11;DD;LLE-PNO
TGV Navette;7060;17:11;DD;LLE-PNO
TGV Navette;7068;18:11;DD;LLE-PNO
TGV Navette;7072;18:41;DD;LLE-PNO
TGV Navette;7076;19:11;DD;LLE-PNO
TGV Navette;7082;20:11;DD;LLE-PNO
TGV Regional;7200;05:49;B;LLE-QRV-PNO
TGV Regional;7104;06:15;B;XVS-XDN-QRV-PNO
TGV Regional;7304;05:55;B;ADI-HZK-XBH-XLE-QRV-PNO
TGV Regional;7106;06:52;B;XVS-XDN-QRV-PNO
TGV Regional;7508;06:35;B;AEB-STH-LLE-QRV-PNO
TGV Regional;7208;07:00;B;ADI-LLE-QRV-PNO
TGV Regional;7116;10:15;B;XVS-XDN-QRV-PNO
TGV Regional;7216;10:00;B;ADI-LLE-QRV-PNO
TGV Regional;7522;12:35;B;AEB-STH-LLE-QRV-PNO
TGV Regional;7330;15:55;B;ADI-HZK-XBH-XLE-QRV-PNO
TGV Regional;7130;16:15;B;XVS-XDN-QRV-PNO
TGV Regional;7534;16:35;B;AEB-STH-LLE-QRV-PNO
TGV Regional;7238;18:00;B;ADI-LLE-QRV-PNO
TGV Regional;7346;20:55;B;ADI-HZK-XBH-XLE-QRV-PNO
TGV Regional;7546;20:35;B;AEB-STH-LLE-QRV-PNO
TER;XVSLLE1;05:50;B;XVS-LLE
TER;XVSLLE2;06:18;B;XVS-LLE
TER;XVSLLE3;06:50;B;XVS-LLE
TER;XVSLLE4;07:15;B;XVS-LLE
TER;XVSLLE5;07:50;B;XVS-LLE
TER;XVSLLE6;08:18;B;XVS-LLE
TER;XVSLLE7;08:50;B;XVS-LLE
TER;XVSLLE8;09:18;B;XVS-LLE
TER;XVSLLE9;09:50;B;XVS-LLE
TER;XVSLLE10;10:18;B;XVS-LLE
TER;XVSLLE11;10:50;B;XVS-LLE
TER;XVSLLE12;11:18;B;XVS-LLE
TER;XVSLLE13;12:18;B;XVS-LLE
TER;XVSLLE14;12:50;B;XVS-LLE
TER;XVSLLE15;14:50;B;XVS-LLE
TER;XVSLLE16;16:18;B;XVS-LLE
TER;XVSLLE17;16:50;B;XVS-LLE
TER;XVSLLE18;17:50;B;XVS-LLE
TER;XVSLLE19;18:18;B;XVS-LLE
TER;XVSLLE20;18:50;B;XVS-LLE
TER;XVSLLE21;19:18;B;XVS-LLE
TER;XVSLLE22;19:50;B;XVS-LLE
TER;XVSLLE23;20:18;B;XVS-LLE
TER;XVSLLE24;20:50;B;XVS-LLE
TER;XVSLLE25;21:18;B;XVS-LLE
TER;XVSLLE26;21:50;B;XVS-LLE
TER;XVSLLE27;22:18;B;XVS-LLE
TER;ADIQRV1;05:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV2;06:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV3;07:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV4;08:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV5;12:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV6;14:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV7;16:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV8;17:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV9;18:32;B;ADI-HZK-XBH-XLE-QRV
TER;ADIQRV10;19:32;B;ADI-HZK-XBH-XLE-QRV
TER;XDNQRV1;06:15;B;XDN-QRV
TER;XDNQRV2;06:32;B;XDN-VTY-QRV
TER;XDNQRV3;07:15;B;XDN-QRV
TER;XDNQRV4;07:32;B;XDN-VTY-QRV
TER;XDNQRV5;08:15;B;XDN-QRV
TER;XDNQRV6;08:32;B;XDN-VTY-QRV
TER;XDNQRV7;09:15;B;XDN-QRV
TER;XDNQRV8;09:32;B;XDN-VTY-QRV
TER;XDNQRV9;10:15;B;XDN-QRV
TER;XDNQRV10;11:15;B;XDN-QRV
TER;XDNQRV11;11:32;B;XDN-VTY-QRV
TER;XDNQRV12;12:15;B;XDN-QRV
TER;XDNQRV13;12:32;B;XDN-VTY-QRV
TER;XDNQRV14;13:15;B;XDN-QRV
TER;XDNQRV15;13:32;B;XDN-VTY-QRV
TER;XDNQRV16;14:15;B;XDN-QRV
TER;XDNQRV17;16:15;B;XDN-QRV
TER;XDNQRV18;16:32;B;XDN-VTY-QRV
TER;XDNQRV19;17:15;B;XDN-QRV
TER;XDNQRV20;17:32;B;XDN-VTY-QRV
TER;XDNQRV21;18:15;B;XDN-QRV
TER;XDNQRV22;18:32;B;XDN-VTY-QRV
TER;XDNQRV23;19:15;B;XDN-QRV
TER;XDNQRV24;19:32;B;XDN-VTY-QRV
TER;XDNQRV25;20:15;B;XDN-QRV
TER;XDNQRV26;21:15;B;XDN-QRV
TERGV;ADILLE1;08:00;B;ADI-LLE
TERGV;ADILLE2;09:00;B;ADI-LLE
TERGV;ADILLE3;10:00;B;ADI-LLE
TERGV;ADILLE4;13:00;B;ADI-LLE
TERGV;ADILLE5;14:00;B;ADI-LLE
TERGV;ADILLE6;16:00;B;ADI-LLE
TERGV;ADILLE7;17:00;B;ADI-LLE
TERGV;ADIAMS1;18:38;B;ADI-LLE-QRV-AMS
TERGV;AEBLLE1;05:28;B;AEB-STH-LLE
TERGV;AEBLLE2;07:00;B;AEB-STH-LLE
TERGV;AEBLLE3;18:35;B;AEB-STH-LLE
TERGV;STHLLE1;08:06;B;STH-LLE
TERGV;STHLLE2;18:06;B;STH-LLE
